Código;Descripción corta;UdM base;Tipo;Perfil logístico
1F3VIHERE%AC35;FLAT HERE;UN;CALZADO;
1F3VIHERE%AC36;FLAT HERE;UN;CALZADO;
1F3VIHERE%AC37;FLAT HERE;UN;CALZADO;
1F3VIHERE%AC38;FLAT HERE;UN;CALZADO;
1F3VIHERE%AC39;FLAT HERE;UN;CALZADO;
1F3VIHERE%AC40;FLAT HERE;UN;CALZADO;
1F3VIHERE%BL35;FLAT HERE;UN;CALZADO;
1F3VIHERE%BL36;FLAT HERE;UN;CALZADO;
1F3VIHERE%BL37;FLAT HERE;UN;CALZADO;
1F3VIHERE%BL38;FLAT HERE;UN;CALZADO;
1F3VIHERE%BL39;FLAT HERE;UN;CALZADO;
1F3VIHERE%BL40;FLAT HERE;UN;CALZADO;
1F3VIHERE%NG35;FLAT HERE;UN;CALZADO;
1F3VIHERE%NG36;FLAT HERE;UN;CALZADO;
1F3VIHERE%NG37;FLAT HERE;UN;CALZADO;
1F3VIHERE%NG38;FLAT HERE;UN;CALZADO;
1F3VIHERE%NG39;FLAT HERE;UN;CALZADO;
1F3VIHERE%NG40;FLAT HERE;UN;CALZADO;
1F3VIHERE%RJ35;FLAT HERE;UN;CALZADO;
1F3VIHERE%RJ36;FLAT HERE;UN;CALZADO;
1F3VIHERE%RJ37;FLAT HERE;UN;CALZADO;
1F3VIHERE%RJ38;FLAT HERE;UN;CALZADO;
1F3VIHERE%RJ39;FLAT HERE;UN;CALZADO;
1F3VIHERE%RJ40;FLAT HERE;UN;CALZADO;
1F3VIHERE%RS35;FLAT HERE;UN;CALZADO;
1F3VIHERE%RS36;FLAT HERE;UN;CALZADO;
1F3VIHERE%RS37;FLAT HERE;UN;CALZADO;
1F3VIHERE%RS38;FLAT HERE;UN;CALZADO;
1F3VIHERE%RS39;FLAT HERE;UN;CALZADO;
1F3VIHERE%RS40;FLAT HERE;UN;CALZADO;
1F3VIHERE%VD35;FLAT HERE;UN;CALZADO;
1F3VIHERE%VD36;FLAT HERE;UN;CALZADO;
1F3VIHERE%VD37;FLAT HERE;UN;CALZADO;
1F3VIHERE%VD38;FLAT HERE;UN;CALZADO;
1F3VIHERE%VD39;FLAT HERE;UN;CALZADO;
1F3VIHERE%VD40;FLAT HERE;UN;CALZADO;
1F4VCCANNES%NG35;CHATA CON TACHAS;UN;CALZADO;
1F4VCCANNES%NG36;CHATA CON TACHAS;UN;CALZADO;
1F4VCCANNES%NG37;CHATA CON TACHAS;UN;CALZADO;
1F4VCCANNES%NG38;CHATA CON TACHAS;UN;CALZADO;
1F4VCCANNES%NG39;CHATA CON TACHAS;UN;CALZADO;
1F4VCCANNES%NG40;CHATA CON TACHAS;UN;CALZADO;
1F4VCELOIS%NG35;CHATA OJOTA;UN;CALZADO;
1F4VCELOIS%NG36;CHATA OJOTA;UN;CALZADO;
1F4VCELOIS%NG37;CHATA OJOTA;UN;CALZADO;
1F4VCELOIS%NG38;CHATA OJOTA;UN;CALZADO;
1F4VCELOIS%NG39;CHATA OJOTA;UN;CALZADO;
1F4VCELOIS%NG40;CHATA OJOTA;UN;CALZADO;
1F5ICKAEL%NG35;BOTINETA CON ETIQUETA;UN;CALZADO;
1F5ICKAEL%NG36;BOTINETA CON ETIQUETA;UN;CALZADO;
1F5ICKAEL%NG37;BOTINETA CON ETIQUETA;UN;CALZADO;
1F5ICKAEL%NG38;BOTINETA CON ETIQUETA;UN;CALZADO;
1F5ICKAEL%NG39;BOTINETA CON ETIQUETA;UN;CALZADO;
1F5ICKAEL%NG40;BOTINETA CON ETIQUETA;UN;CALZADO;
1F5ICKYRA%NG35;BORCEGO CON ETIQUETA;UN;CALZADO;
1F5ICKYRA%NG36;BORCEGO CON ETIQUETA;UN;CALZADO;
1F5ICKYRA%NG37;BORCEGO CON ETIQUETA;UN;CALZADO;
1F5ICKYRA%NG38;BORCEGO CON ETIQUETA;UN;CALZADO;
1F5ICKYRA%NG39;BORCEGO CON ETIQUETA;UN;CALZADO;
1F5ICKYRA%NG40;BORCEGO CON ETIQUETA;UN;CALZADO;
1F5IGBLANE%CQ36;BORCEGO CON LOGOS;UN;CALZADO;
1F5IGBLANE%CQ37;BORCEGO CON LOGOS;UN;CALZADO;
1F5IGBLANE%CQ38;BORCEGO CON LOGOS;UN;CALZADO;
1F5IGBLANE%CQ39;BORCEGO CON LOGOS;UN;CALZADO;
1F5IGBLANE%CQ40;BORCEGO CON LOGOS;UN;CALZADO;
1F5IGBLIX%CQ35;BORCEGO CON ETIQUETA;UN;CALZADO;
1F5IGBLIX%CQ36;BORCEGO CON ETIQUETA;UN;CALZADO;
1F5IGBLIX%CQ37;BORCEGO CON ETIQUETA;UN;CALZADO;
1F5IGBLIX%CQ38;BORCEGO CON ETIQUETA;UN;CALZADO;
1F5IGBLIX%CQ39;BORCEGO CON ETIQUETA;UN;CALZADO;
1F5IGBLIX%CQ40;BORCEGO CON ETIQUETA;UN;CALZADO;
1F5IGBOEN%CQ35;BOTINETA CON ETIQUETA;UN;CALZADO;
1F5IGBOEN%CQ36;BOTINETA CON ETIQUETA;UN;CALZADO;
